slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
norman-gardens-qld-4701,QLD,Livingstone,sales-abs,550000,380000,7,45,10534
apollo-bay-vic-3233,VIC,Colac Otway,sales-vic,777500,535000,6,45,2363
echuca-vic-3564,VIC,Campaspe,sales-vic,631300,435000,5,45,15056
fig-tree-pocket-qld-4069,QLD,Brisbane,sales-abs,1825000,1262500,86,45,4345
st-peters-sa-5069,SA,Norwood Payneham and St Peters,sales-sa,2400000,1660500,19,45,3231
maryborough-vic-3465,VIC,Mount Alexander,sales-vic,379500,676250,10,-44,10111
highgate-hill-qld-4101,QLD,Brisbane,sales-abs,1815000,1262500,86,44,6229
rosebud-vic-3939,VIC,Mornington Peninsula,sales-vic,756300,1362500,26,-44,14381
mount-duneed-vic-3217,VIC,Surf Coast,sales-vic,710000,1271250,12,-44,6182
denman-prospect-act-2611,ACT,Snowy Valleys,sales-abs,1410000,982500,12,44,2759
lobethal-sa-5241,SA,Adelaide Hills,sales-sa,755000,1335000,27,-43,2534
capel-sound-vic-3940,VIC,Mornington Peninsula,sales-vic,780000,1362500,26,-43,5246
junortoun-vic-3551,VIC,Mount Alexander,sales-vic,967500,676250,10,43,3862
nerrina-vic-3350,VIC,Ballarat,sales-vic,803000,560000,25,43,970
vermont-south-vic-3133,VIC,Maroondah,sales-vic,1510500,1057750,14,43,11954
south-yarra-vic-3141,VIC,Melbourne,sales-vic,2100000,1465000,12,43,25028
aberfeldie-vic-3040,VIC,Moonee Valley,sales-vic,1900000,1332750,10,43,3925
golden-grove-sa-5125,SA,Salisbury,sales-sa,1160000,817500,19,42,10299
warrandyte-vic-3113,VIC,Nillumbik,sales-vic,1330000,935000,12,42,5541
sandhurst-vic-3977,VIC,Frankston,sales-vic,1100000,772750,16,42,5211
lake-wendouree-vic-3350,VIC,Ballarat,sales-vic,795000,560000,25,42,2878
tyabb-vic-3913,VIC,Mornington Peninsula,sales-vic,790000,1362500,26,-42,3449
san-remo-vic-3925,VIC,Bass Coast,sales-vic,965000,682750,14,41,4550
keilor-lodge-vic-3038,VIC,Brimbank,sales-vic,1097500,780000,33,41,1668
heidelberg-west-vic-3081,VIC,Banyule,sales-vic,750000,1263500,15,-41,5252
durack-qld-4077,QLD,Brisbane,sales-abs,742500,1262500,86,-41,35805
healesville-vic-3777,VIC,Murrindindi,sales-vic,792500,562750,8,41,7589
kensington-gardens-sa-5068,SA,Norwood Payneham and St Peters,sales-sa,2337500,1660500,19,41,2498
blackwood-sa-5051,SA,Onkaparinga,sales-sa,1290000,915750,42,41,4266
deakin-act-2600,ACT,Woden,sales-abs,1800000,1276000,13,41,3124
ocean-grove-vic-3226,VIC,Greater Geelong,sales-vic,960000,687500,35,40,17714
eureka-vic-3350,VIC,Ballarat,sales-vic,337000,560000,25,-40,66022
burleigh-waters-qld-4220,QLD,Gold Coast,sales-abs,1595000,1136250,32,40,14556
wattle-park-sa-5066,SA,Adelaide Hills,sales-sa,1851000,1335000,27,39,1885
kingswood-sa-5062,SA,Mitcham,sales-sa,2200000,1581250,26,39,2554
fyansford-vic-3221,VIC,Greater Geelong,sales-vic,955000,687500,35,39,1206
hadfield-vic-3046,VIC,Moreland,sales-vic,816000,1335000,15,-39,6269
cheltenham-vic-3192,VIC,Bayside,sales-vic,1302500,2118750,10,-39,24129
crib-point-vic-3919,VIC,Mornington Peninsula,sales-vic,835000,1362500,26,-39,3343
birregurra-vic-3242,VIC,Surf Coast,sales-vic,775500,1271250,12,-39,942
wright-act-2611,ACT,Snowy Valleys,sales-abs,1370000,982500,12,39,3808
grange-qld-4051,QLD,Brisbane,sales-abs,1747500,1262500,86,38,29574
pasadena-sa-5042,SA,Marion,sales-sa,1620000,1177560,33,38,3073
