slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
belowra-nsw-2545,"Belowra",2545,300,255,2026-07-01T02:02:09.916Z,rental-nsw
benanee-nsw-2737,"Benanee",2737,250,213,2026-07-01T02:02:09.916Z,rental-nsw
bendemeer-nsw-2355,"Bendemeer",2355,300,300,2026-07-01T02:02:09.916Z,sales-nsw
bendick-murrell-nsw-2803,"Bendick Murrell",2803,200,200,2026-07-01T02:02:09.916Z,sales-nsw
bendoura-nsw-2622,"Bendoura",2622,350,270,2026-07-01T02:02:09.916Z,sales-nsw
beneree-nsw-2798,"Beneree",2798,320,272,2026-07-01T02:02:09.916Z,rental-nsw
berlang-nsw-2622,"Berlang",2622,350,298,2026-07-01T02:02:09.916Z,rental-nsw
berowra-creek-nsw-2082,"Berowra Creek",2082,580,493,2026-07-01T02:02:09.916Z,rental-nsw
berowra-heights-nsw-2082,"Berowra Heights",2082,580,580,2026-07-01T02:02:09.916Z,sales-nsw
berowra-waters-nsw-2082,"Berowra Waters",2082,580,575,2026-07-01T02:02:09.916Z,sales-nsw
berrigan-nsw-2712,"Berrigan",2712,178,173,2026-07-01T02:02:09.916Z,sales-nsw
berrilee-nsw-2159,"Berrilee",2159,480,350,2026-07-01T02:02:09.916Z,rental-nsw
berry-jerry-nsw-2701,"Berry Jerry",2701,265,200,2026-07-01T02:02:09.916Z,rental-nsw
bevendale-nsw-2581,"Bevendale",2581,300,180,2026-07-01T02:02:09.916Z,sales-nsw
biala-nsw-2581,"Biala",2581,300,230,2026-07-01T02:02:09.916Z,rental-nsw
bibbenluke-nsw-2632,"Bibbenluke",2632,200,195,2026-07-01T02:02:09.916Z,sales-nsw
biddon-nsw-2827,"Biddon",2827,200,108,2026-07-01T02:02:09.916Z,sales-nsw
bielsdown-hills-nsw-2453,"Bielsdown Hills",2453,280,300,2026-07-01T02:02:09.916Z,sales-nsw
bigga-nsw-2583,"Bigga",2583,270,215,2026-07-01T02:02:09.916Z,sales-nsw
big-jacks-creek-nsw-2339,"Big Jacks Creek",2339,190,225,2026-07-01T02:02:09.916Z,rental-nsw
billeroy-nsw-2829,"Billeroy",2829,190,162,2026-07-01T02:02:09.916Z,rental-nsw
billimari-nsw-2804,"Billimari",2804,220,220,2026-07-01T02:02:09.916Z,sales-nsw
billys-creek-nsw-2453,"Billys Creek",2453,280,225,2026-07-01T02:02:09.916Z,sales-nsw
bimbi-nsw-2810,"Bimbi",2810,200,130,2026-07-01T02:02:09.916Z,sales-nsw
binalong-nsw-2584,"Binalong",2584,280,280,2026-07-01T02:02:09.916Z,sales-nsw
binda-nsw-2583,"Binda",2583,270,230,2026-07-01T02:02:09.916Z,sales-nsw
bingara-nsw-2404,"Bingara",2404,200,200,2026-07-01T02:02:09.916Z,sales-nsw
bingeebeebra-creek-nsw-2469,"Bingeebeebra Creek",2469,240,204,2026-07-01T02:02:09.916Z,rental-nsw
bingeebeebra-nsw-2469,"Bingeebeebra",2469,240,204,2026-07-01T02:02:09.916Z,rental-nsw
bingleburra-nsw-2311,"Bingleburra",2311,270,450,2026-07-01T02:02:09.916Z,sales-nsw
biniguy-nsw-2399,"Biniguy",2399,190,180,2026-07-01T02:02:09.916Z,rental-nsw
binnaway-nsw-2395,"Binnaway",2395,150,150,2026-07-01T02:02:09.916Z,sales-nsw
binya-nsw-2665,"Binya",2665,150,250,2026-07-01T02:02:09.916Z,rental-nsw
birdlip-nsw-2655,"Birdlip",2655,245,208,2026-07-01T02:02:09.916Z,rental-nsw
birriwa-nsw-2844,"Birriwa",2844,200,270,2026-07-01T02:02:09.916Z,sales-nsw
black-creek-nsw-2439,"Black Creek",2439,350,298,2026-07-01T02:02:09.916Z,sales-nsw
black-creek-nsw-2729,"Black Creek",2729,200,170,2026-07-01T02:02:09.916Z,rental-nsw
black-hollow-nsw-2828,"Black Hollow",2828,160,136,2026-07-01T02:02:09.916Z,rental-nsw
blakney-creek-nsw-2581,"Blakney Creek",2581,300,350,2026-07-01T02:02:09.916Z,sales-nsw
blandford-nsw-2338,"Blandford",2338,250,200,2026-07-01T02:02:09.916Z,sales-nsw
bland-nsw-2721,"Bland",2721,140,119,2026-07-01T02:02:09.916Z,rental-nsw
