slug,state,postcode,population,medianAge,sharedInPostcode
westby-nsw-2650,NSW,2650,61511,36,10
griffith-dc-nsw-2680,NSW,2680,25339,37,2
griffith-east-nsw-2680,NSW,2680,25339,37,2
kings-plains-nsw-2799,NSW,2799,4156,40,2
sedgeford-qld-4724,QLD,4724,559,44,9
kings-creek-nsw-2429,NSW,2429,9650,51,6
six-mile-swamp-nsw-2469,NSW,2469,4359,54,15
boothenba-nsw-2830,NSW,2830,44963,36,18
raaf-base-darwin-nt-0820,NT,0820,19920,35,8
dubbo-east-nsw-2830,NSW,2830,44963,36,18
witchitie-sa-5432,SA,5432,148,41,7
southern-cross-qld-4820,QLD,4820,10732,41,8
durham-downs-sa-5731,SA,5731,234,39,14
dubbo-west-nsw-2830,NSW,2830,44963,36,18
eschol-nsw-2830,NSW,2830,44963,36,18
the-gap-nsw-2650,NSW,2650,61511,36,10
lithgow-dc-nsw-2790,NSW,2790,15452,47,6
coads-tank-nsw-2646,NSW,2646,6841,51,4
myrtletown-qld-4008,QLD,4008,373,40,3
windera-qld-4605,QLD,4605,4770,41,5
dubbo-grove-nsw-2830,NSW,2830,44963,36,18
talbragar-nsw-2830,NSW,2830,44963,36,18
wyanga-nsw-2821,NSW,2821,4778,39,1
coursing-park-nsw-2650,NSW,2650,61511,36,10
etmilyn-wa-6213,WA,6213,654,50,2
buffalo-creek-nt-0812,NT,0812,18634,37,5
currawananna-nsw-2650,NSW,2650,61511,36,10
hillgrove-nsw-2650,NSW,2650,61511,36,10
westdale-nsw-2650,NSW,2650,61511,36,10
bindook-nsw-2787,NSW,2787,4605,48,10
brereton-nsw-2787,NSW,2787,4605,48,10
beloon-nsw-2787,NSW,2787,4605,48,10
killora-tas-7150,TAS,7150,3191,50,4
kooroomool-qld-4854,QLD,4854,5525,43,5
bimlow-nsw-2787,NSW,2787,4605,48,10
mount-wells-wa-6390,WA,6390,1673,42,5
townsville-sa-4810,SA,4810,21697,40,1
jooriland-nsw-2787,NSW,2787,4605,48,10
bundjalung-nsw-2473,NSW,2473,3203,54,3
mundaring-weir-wa-6073,WA,6073,3190,50,3
mount-gipps-nsw-2880,NSW,2880,18097,44,9
