slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
comaum-sa-5277,"Comaum",5277,190,92,2026-07-01T02:02:17.568Z,rental-sa
commonwealth-hill-sa-5719,"Commonwealth Hill",5719,330,281,2026-07-01T02:02:17.568Z,rental-sa
concordia-sa-5118,"Concordia",5118,280,330,2026-07-01T02:02:17.568Z,rental-sa
condowie-sa-5464,"Condowie",5464,183,150,2026-07-01T02:02:17.568Z,rental-sa
conmurra-sa-5272,"Conmurra",5272,150,50,2026-07-01T02:02:17.568Z,rental-sa
cooke-plains-sa-5261,"Cooke Plains",5261,150,120,2026-07-01T02:02:17.568Z,rental-sa
cook-sa-5701,"Cook",5701,200,170,2026-07-01T02:02:17.568Z,rental-sa
cook-sa-5710,"Cook",5710,250,213,2026-07-01T02:02:17.568Z,rental-sa
coolcha-sa-5238,"Coolcha",5238,215,183,2026-07-01T02:02:17.568Z,rental-sa
coolillie-sa-5670,"Coolillie",5670,200,170,2026-07-01T02:02:17.568Z,rental-sa
coomandook-sa-5261,"Coomandook",5261,150,150,2026-07-01T02:02:17.568Z,rental-sa
coomooroo-sa-5431,"Coomooroo",5431,150,180,2026-07-01T02:02:17.568Z,rental-sa
coomunga-sa-5607,"Coomunga",5607,250,175,2026-07-01T02:02:17.568Z,rental-sa
coonabarabran-sa-2357,"Coonabarabran",2357,206,175,2026-07-01T02:02:17.568Z,rental-sa
coonamia-sa-5540,"Coonamia",5540,185,250,2026-07-01T02:02:17.568Z,rental-sa
coondambo-sa-5719,"Coondambo",5719,330,281,2026-07-01T02:02:17.568Z,rental-sa
coopers-creek-sa-5731,"Coopers Creek",5731,84,71,2026-07-01T02:02:17.568Z,rental-sa
coorabie-sa-5690,"Coorabie",5690,160,125,2026-07-01T02:02:17.568Z,rental-sa
coorong-sa-5264,"Coorong",5264,198,180,2026-07-01T02:02:17.568Z,rental-sa
cootra-sa-5650,"Cootra",5650,350,350,2026-07-01T02:02:17.568Z,rental-sa
cooyerdoo-sa-5611,"Cooyerdoo",5611,130,111,2026-07-01T02:02:17.568Z,rental-sa
copeville-sa-5308,"Copeville",5308,123,80,2026-07-01T02:02:17.568Z,rental-sa
copley-sa-5732,"Copley",5732,90,85,2026-07-01T02:02:17.568Z,rental-sa
cordillo-downs-sa-5731,"Cordillo Downs",5731,84,71,2026-07-01T02:02:17.568Z,rental-sa
corny-point-sa-5575,"Corny Point",5575,200,150,2026-07-01T02:02:17.568Z,rental-sa
cortlinye-sa-5641,"Cortlinye",5641,150,150,2026-07-01T02:02:17.568Z,rental-sa
corunna-station-sa-5611,"Corunna Station",5611,130,111,2026-07-01T02:02:17.568Z,rental-sa
